Country,Opportunity_Organization_Name,End_Date,End_Month,Number_of_KG,Price_per_KG_(converted)_Currency,Price_per_KG_(converted),Total_Sales_(converted)_Currency,Total_Sales_(converted),Component_Metrics:_ID
Gambia,FBCFCS - FONI,12/4/2022,(04) APR 2022,1479.5,USD,1.01,USD,1501.62,a1Rt0000005TAGT
Gambia,FBCFCS - FONI,13/04/2022,(04) APR 2022,766,USD,1.13,USD,867.16,a1Rt0000005TAGU
Gambia,FBCFCS - FONI,14/04/2022,(04) APR 2022,938.6,USD,1.03,USD,970.95,a1Rt0000005TAGV
Gambia,FBCFCS - FONI,16/04/2022,(04) APR 2022,1787.7,USD,1.07,USD,1919.11,a1Rt0000005TAGW
Gambia,FBCFCS - FONI,29/04/2022,(04) APR 2022,732.5,USD,1.25,USD,915.02,a1Rt0000005TAox
Gambia,FBCFCS - FONI,23/04/2022,(04) APR 2022,965.5,USD,1.21,USD,1168.39,a1Rt0000005TB5W
Gambia,FBCFCS - FONI,17/04/2022,(04) APR 2022,1317.9,USD,1.11,USD,1466.22,a1Rt0000005TB5b
Gambia,FBCFCS - FONI,24/04/2022,(04) APR 2022,610.1,USD,1.25,USD,762.12,a1Rt0000005TB5g
Gambia,FBCFCS - FONI,27/04/2022,(04) APR 2022,656.5,USD,1.27,USD,832.89,a1Rt0000005TB5h
Gambia,FBCFCS - FONI,16/04/2022,(04) APR 2022,864.4,USD,1.07,USD,927.94,a1Rt0000005TB5k
Gambia,FBCFCS - FONI,28/04/2022,(04) APR 2022,692.4,USD,1.29,USD,891.96,a1Rt0000005TB5l
Gambia,FBCFCS - FONI,22/04/2022,(04) APR 2022,726.2,USD,1.17,USD,850.45,a1Rt0000005TB5m
Gambia,FBCFCS - FONI,26/04/2022,(04) APR 2022,929.7,USD,1.27,USD,1179.5,a1Rt0000005TB5n
Gambia,FBCFCS - FONI,21/04/2022,(04) APR 2022,962.5,USD,1.17,USD,1127.18,a1Rt0000005TB5o
Gambia,FBCFCS - FONI,26/04/2022,(04) APR 2022,1332,USD,1.17,USD,1559.9,a1Rt0000005TB5p
Gambia,FBCFCS - FONI,30/04/2022,(04) APR 2022,1319.8,USD,1.33,USD,1751.7,a1Rt0000005TB5v
Gambia,FBCFCS - FONI,30/04/2022,(04) APR 2022,897.5,USD,1.33,USD,1191.2,a1Rt0000005TB5w
Gambia,FBCFCS - FONI,28/04/2022,(04) APR 2022,1329.2,USD,1.29,USD,1712.29,a1Rt0000005TB60
Gambia,FBCFCS - FONI,1/5/2022,(05) MAY 2022,584.8,USD,1.33,USD,776.17,a1Rt0000005TBFH
Gambia,FBCFCS - FONI,2/5/2022,(05) MAY 2022,636,USD,1.35,USD,856.54,a1Rt0000005TBFI
Gambia,FBCFCS - FONI,5/5/2022,(05) MAY 2022,1117.5,USD,1.39,USD,1548.63,a1Rt0000005TC32
Gambia,FBCFCS - FONI,6/5/2022,(05) MAY 2022,516.8,USD,1.39,USD,716.18,a1Rt0000005TC8g
Gambia,FBCFCS - FONI,8/5/2022,(05) MAY 2022,1504.5,USD,1.39,USD,2084.94,a1Rt0000005TCPI
Guinea Bissau,BALANTA CUNDA,14/04/2022,(04) APR 2022,3600,USD,0.68,USD,2430.02,a1Rt0000005TCSC
Guinea Bissau,BALANTA CUNDA,16/04/2022,(04) APR 2022,6250,USD,0.68,USD,4218.78,a1Rt0000005TCSH
Guinea Bissau,BALANTA CUNDA,18/04/2022,(04) APR 2022,2935,USD,0.68,USD,1981.14,a1Rt0000005TCSM
Guinea Bissau,BALANTA CUNDA,22/04/2022,(04) APR 2022,3838,USD,0.68,USD,2590.67,a1Rt0000005TCSR
Guinea Bissau,BALANTA CUNDA,2/5/2022,(05) MAY 2022,4377,USD,0.68,USD,2954.49,a1Rt0000005TCSW
Gambia,KWCFCS - KIANG,21/04/2022,(04) APR 2022,3553.8,USD,1.17,USD,4161.85,a1Rt0000005TCbi
Gambia,FBCFCS - FONI,9/5/2022,(05) MAY 2022,353,USD,1.37,USD,482.3,a1Rt0000005TClO
Gambia,FBCFCS - FONI,9/5/2022,(05) MAY 2022,926.2,USD,1.39,USD,1283.53,a1Rt0000005TClT
Guinea Bissau,LAMPADA DE CAMPO,11/5/2022,(05) MAY 2022,8.5,USD,0.72,USD,6.12,a1Rt0000005TClY
Gambia,FBCFCS - FONI,18/04/2022,(04) APR 2022,1674.1,USD,1.13,USD,1895.18,a1Rt0000005TCwg
Gambia,FBCFCS - FONI,1/5/2022,(05) MAY 2022,762,USD,1.33,USD,1011.36,a1Rt0000005TCwh
Gambia,FBCFCS - FONI,1/5/2022,(05) MAY 2022,637.3,USD,1.33,USD,845.85,a1Rt0000005TCwi
Gambia,FBCFCS - FONI,11/5/2022,(05) MAY 2022,589.4,USD,1.35,USD,793.78,a1Rt0000005TCwj
Gambia,FBCFCS - FONI,9/5/2022,(05) MAY 2022,389,USD,1.37,USD,531.48,a1Rt0000005TCwk
Gambia,FBCFCS - FONI,22/04/2022,(04) APR 2022,1022.6,USD,1.17,USD,1197.56,a1Rt0000005TCwl
